2025-07-08T08:49:54.957+08:00  WARN 99473 --- [MyWebProject] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h27m40s805ms).
2025-07-08T09:08:36.581+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing POST /login
2025-07-08T09:08:36.654+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:36.660+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured POST /login
2025-07-08T09:08:37.477+08:00  INFO 99473 --- [MyWebProject] [http-nio-8080-exec-10] c.e.demo.controller.LoginRestController  : !!!!!!!!!! LOGIN API HAS BEEN CALLED !!!!!!!!!!
2025-07-08T09:08:38.514+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.a.dao.DaoAuthenticationProvider    : Authenticated user
2025-07-08T09:08:41.109+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /check-login
2025-07-08T09:08:41.093+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing OPTIONS /userinfo
2025-07-08T09:08:41.101+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T09:08:41.152+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:41.153+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 8B734B1700FBADEECC0CBA233E33889E
2025-07-08T09:08:41.153+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T09:08:41.118+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /userinfo
2025-07-08T09:08:41.164+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing OPTIONS /check-login
2025-07-08T09:08:41.177+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:08:41.180+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:08:41.197+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:08:41.201+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:08:41.278+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:08:41.284+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:08:41.296+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:08:41.307+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 5E310431206E49085CDEBA9DB3268416
2025-07-08T09:08:41.307+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:08:41.308+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:08:41.322+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:08:41.336+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:08:41.350+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:08:41.370+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T09:08:41.375+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:41.375+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 8B734B1700FBADEECC0CBA233E33889E
2025-07-08T09:08:41.375+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /products
